primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,time,url,filename
afrsil1,[],"['call', 'flight call']",12.391,-1.493,Euodice cantans,African Silverbill,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.5,08:00,https://www.xeno-canto.org/125458,afrsil1/XC125458.ogg
afrsil1,"['houspa', 'redava', 'zebdov']",['call'],19.8801,-155.7254,Euodice cantans,African Silverbill,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,08:30,https://www.xeno-canto.org/175522,afrsil1/XC175522.ogg
afrsil1,[],"['call', 'song']",16.2901,-16.0321,Euodice cantans,African Silverbill,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,11:30,https://www.xeno-canto.org/177993,afrsil1/XC177993.ogg
afrsil1,[],"['alarm call', 'call']",17.0922,54.2958,Euodice cantans,African Silverbill,Oscar Campbell,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,11:00,https://www.xeno-canto.org/205893,afrsil1/XC205893.ogg
afrsil1,[],['flight call'],21.4581,-157.7252,Euodice cantans,African Silverbill,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,16:30,https://www.xeno-canto.org/207431,afrsil1/XC207431.ogg
afrsil1,[],['flight call'],21.4581,-157.7252,Euodice cantans,African Silverbill,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,16:30,https://www.xeno-canto.org/207432,afrsil1/XC207432.ogg
afrsil1,[],['call'],21.3561,-158.0205,Euodice cantans,African Silverbill,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,11:00,https://www.xeno-canto.org/209513,afrsil1/XC209513.ogg
afrsil1,[],"['flight call', 'traffic']",10.1538,-0.7996,Euodice cantans,African Silverbill,Phil Gregory,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,09:00,https://www.xeno-canto.org/234994,afrsil1/XC234994.ogg
afrsil1,[],['call'],14.5088,-17.0696,Euodice cantans,African Silverbill,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,08:00,https://www.xeno-canto.org/317039,afrsil1/XC317039.ogg
afrsil1,[],['call'],14.7279,-17.4329,Euodice cantans,African Silverbill,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,10:30,https://www.xeno-canto.org/322742,afrsil1/XC322742.ogg
afrsil1,[],['call'],-1.3306,36.9251,Euodice cantans,African Silverbill,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,13:30,https://www.xeno-canto.org/344134,afrsil1/XC344134.ogg
afrsil1,[],['call'],17.1024,54.45,Euodice cantans,African Silverbill,Matthias Feuersenger,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,10:17,https://www.xeno-canto.org/371226,afrsil1/XC371226.ogg
afrsil1,[],['call'],17.1003,54.2844,Euodice cantans,African Silverbill,Boris Delahaie,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,06:35,https://www.xeno-canto.org/395771,afrsil1/XC395771.ogg
afrsil1,[],['call'],17.0922,54.2958,Euodice cantans,African Silverbill,Oscar Campbell,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,12:30,https://www.xeno-canto.org/445331,afrsil1/XC445331.ogg
afrsil1,[],"['adult', 'sex uncertain']",11.8047,13.1966,Euodice cantans,African Silverbill,Sun Madakan ,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,09:00,https://www.xeno-canto.org/597072,afrsil1/XC597072.ogg
afrsil1,[],['call'],17.0578,42.9626,Euodice cantans,African Silverbill,Gregory Askew,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,10:30,https://www.xeno-canto.org/650014,afrsil1/XC650014.ogg
akekee,[],['call'],22.1467,-159.6134,Loxops caeruleirostris,Akekee,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,10:00,https://www.xeno-canto.org/174953,akekee/XC174953.ogg
akekee,[],['call'],22.1467,-159.6134,Loxops caeruleirostris,Akekee,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,10:00,https://www.xeno-canto.org/174954,akekee/XC174954.ogg
akekee,"['apapan', 'warwhe1']","['call', 'male']",22.1467,-159.6134,Loxops caeruleirostris,Akekee,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,09:00,https://www.xeno-canto.org/210201,akekee/XC210201.ogg
akekee,['apapan'],"['call', 'male', 'song']",22.0815,-159.555,Loxops caeruleirostris,Akekee,Patrick Blake,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,14:00,https://www.xeno-canto.org/219961,akekee/XC219961.ogg
akekee,['iiwi'],['call'],22.1467,-159.6134,Loxops caeruleirostris,Akekee,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,12:30,https://www.xeno-canto.org/27306,akekee/XC27306.ogg
akekee,[],['call'],22.1467,-159.6134,Loxops caeruleirostris,Akekee,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,11:45,https://www.xeno-canto.org/27320,akekee/XC27320.ogg
akepa1,"['akiapo', 'apapan', 'hawama', 'hawcre', 'iiwi']",['call'],19.6292,-155.3597,Loxops coccineus,Hawaii Akepa,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.5,14:14,https://www.xeno-canto.org/122473,akepa1/XC122473.ogg
akepa1,"['apapan', 'iiwi', 'warwhe1']",['call'],19.6223,-155.3598,Loxops coccineus,Hawaii Akepa,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,12:37,https://www.xeno-canto.org/122672,akepa1/XC122672.ogg
akepa1,"['apapan', 'iiwi']",['call'],19.6294,-155.3615,Loxops coccineus,Hawaii Akepa,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,11:53,https://www.xeno-canto.org/124794,akepa1/XC124794.ogg
akepa1,"['apapan', 'iiwi', 'warwhe1']",['call'],19.8224,-155.2964,Loxops coccineus,Hawaii Akepa,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,14:07,https://www.xeno-canto.org/127673,akepa1/XC127673.ogg
akepa1,"['akiapo', 'apapan', 'hawama', 'omao', 'warwhe1']","['begging call', 'call']",19.5727,-155.3189,Loxops coccineus,Hawaii Akepa,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,17:57,https://www.xeno-canto.org/147002,akepa1/XC147002.ogg
akepa1,"['apapan', 'iiwi', 'warwhe1']","['call', 'song']",19.7901,-155.3273,Loxops coccineus,Hawaii Akepa,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,12:00,https://www.xeno-canto.org/175511,akepa1/XC175511.ogg
akepa1,"['apapan', 'iiwi']",['call'],19.7901,-155.3273,Loxops coccineus,Hawaii Akepa,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,12:30,https://www.xeno-canto.org/175512,akepa1/XC175512.ogg
akepa1,"['apapan', 'iiwi']",['call'],19.7901,-155.3273,Loxops coccineus,Hawaii Akepa,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,12:30,https://www.xeno-canto.org/175513,akepa1/XC175513.ogg
akepa1,['iiwi'],['song'],19.7901,-155.3273,Loxops coccineus,Hawaii Akepa,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,12:40,https://www.xeno-canto.org/27348,akepa1/XC27348.ogg
akepa1,['iiwi'],['call'],19.7901,-155.3273,Loxops coccineus,Hawaii Akepa,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,12:40,https://www.xeno-canto.org/27356,akepa1/XC27356.ogg
akiapo,"['apapan', 'hawama', 'iiwi']",['song'],19.6294,-155.3615,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,12:31,https://www.xeno-canto.org/122399,akiapo/XC122399.ogg
akiapo,"['apapan', 'iiwi', 'warwhe1']",['call'],19.6294,-155.3615,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,17:46,https://www.xeno-canto.org/122401,akiapo/XC122401.ogg
akiapo,['apapan'],['song'],19.6642,-155.3896,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,16:22,https://www.xeno-canto.org/122693,akiapo/XC122693.ogg
akiapo,"['apapan', 'elepai', 'hawama', 'iiwi', 'omao', 'warwhe1']",['call'],19.6642,-155.3896,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,15:58,https://www.xeno-canto.org/124705,akiapo/XC124705.ogg
akiapo,"['apapan', 'hawama', 'iiwi', 'omao', 'warwhe1']",['song'],19.6334,-155.3753,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.5,14:43,https://www.xeno-canto.org/124801,akiapo/XC124801.ogg
akiapo,"['apapan', 'hawama', 'iiwi']",['song'],19.7937,-155.3243,Hemignathus wilsoni,Akiapolaau,Eric VanderWerf,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,15:00,https://www.xeno-canto.org/144826,akiapo/XC144826.ogg
akiapo,"['akepa1', 'apapan', 'hawcre', 'omao', 'warwhe1']","['begging call', 'mechanical tapping']",19.5866,-155.3402,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,16:56,https://www.xeno-canto.org/147003,akiapo/XC147003.ogg
akiapo,[],['begging call (?)'],19.7901,-155.3273,Hemignathus wilsoni,Akiapolaau,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,15:40,https://www.xeno-canto.org/27355,akiapo/XC27355.ogg
akiapo,"['hawama', 'iiwi']",['call'],19.6759,-155.3845,Hemignathus wilsoni,Akiapolaau,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,13:30,https://www.xeno-canto.org/27374,akiapo/XC27374.ogg
akiapo,['iiwi'],"['call', 'song']",19.6759,-155.3845,Hemignathus wilsoni,Akiapolaau,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.5,14:00,https://www.xeno-canto.org/27376,akiapo/XC27376.ogg
akiapo,[],['song'],19.6294,-155.3615,Hemignathus wilsoni,Akiapolaau,George Wagner,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,12:00,https://www.xeno-canto.org/306424,akiapo/XC306424.ogg
akiapo,['hawama'],['alarm call'],19.6759,-155.3845,Hemignathus wilsoni,Akiapolaau,Ulf Elman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,11:05,https://www.xeno-canto.org/385387,akiapo/XC385387.ogg
akiapo,['apapan'],['call'],19.536,-155.3345,Hemignathus wilsoni,Akiapolaau,Naomi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,08:30,https://www.xeno-canto.org/648118,akiapo/XC648118.ogg
akiapo,[],"['adult', 'call', 'female']",19.5361,-155.3247,Hemignathus wilsoni,Akiapolaau,Naomi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,10:30,https://www.xeno-canto.org/648120,akiapo/XC648120.ogg
akikik,"['akikik', 'apapan']",['call'],22.0815,-159.555,Oreomystis bairdi,Akikiki,Patrick Blake,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,16:00,https://www.xeno-canto.org/216038,akikik/XC216038.ogg
akikik,[],['call'],22.0815,-159.555,Oreomystis bairdi,Akikiki,Patrick Blake,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,14:00,https://www.xeno-canto.org/317034,akikik/XC317034.ogg
amewig,[],['call'],56.7264,-111.3803,Mareca americana,American Wigeon,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,05:00,https://www.xeno-canto.org/150015,amewig/XC150015.ogg
amewig,[],['call'],56.7264,-111.3803,Mareca americana,American Wigeon,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.0,06:00,https://www.xeno-canto.org/150063,amewig/XC150063.ogg
amewig,[],['call'],56.7264,-111.3803,Mareca americana,American Wigeon,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,1.0,22:00,https://www.xeno-canto.org/152348,amewig/XC152348.ogg
amewig,['sora'],['call'],35.0307,-120.6205,Mareca americana,American Wigeon,Thomas G. Graves,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,9:30,https://www.xeno-canto.org/152396,amewig/XC152396.ogg
